(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC
-64.87555,-8.506958,12.951408,3.8302813,1.45882,2.4630535,5.1461453,15.019786,1.5169412,11.221549,25.356762,1.3520876,0.7752732,2.322272,1.1365174,6.423053
-52.370476,-21.205076,0.48658985,-2.8175797,0.20676844,4.2914753,-0.88585746,-4.5831,0.3651582,-4.1590877,-143.66881,1.8019418,-0.4988936,1.7447276,1.985798,-0.0034948161
-51.8708,0.8997536,-47.712772,-2.2323031,-2.7810578,2.4390073,-0.91153604,-4.534724,0.8172109,5.547599,-114.982124,-1.1932547,1.1604314,0.70185786,-4.2944603,0.705457
-53.598103,-17.016747,-44.407944,-2.1512237,-2.2399654,4.4466763,-0.1877264,-0.05280794,-0.56240046,-4.6600447,-117.221085,1.3794867,1.2772541,-2.3976047,5.0798206,-2.4329584
-59.428112,-3.7708333,-6.367927,-1.6909823,-4.3578806,4.5088506,-2.2222872,-3.8126009,0.9113005,-3.1981812,-145.09845,3.0073273,0.47486642,3.3264472,3.4280574,0.06554592
21.243475,0.30329284,-25.152838,3.680266,-6.904094,-1.9461993,-0.47941825,6.186174,-5.999482,3.501774,-133.12453,-42.767235,-0.3452997,-4.3965745,-5.075812,-5.2059646
33.055843,-1.8214532,21.15218,2.7022164,2.565961,4.762736,2.924622,3.7220635,0.06587078,1.7873199,-123.07871,9.645824,2.106489,5.5473123,7.12274,6.819743
-64.14148,-8.775564,10.872699,-1.7807772,-1.3283936,1.0135566,0.690675,9.20249,2.0579116,10.731752,25.51313,9.45874,1.0533541,5.0702324,2.6900048,3.9169974
13.683057,4.433874,18.396025,-3.3253894,2.2437878,-2.078301,-3.6113274,9.183375,-3.5193748,-1.1651237,-159.70663,4.2583113,0.42473498,3.9971354,-5.315791,-4.2231154
-65.46625,1.421845,6.180773,-3.1172376,4.034513,2.7369843,-2.285495,-3.6540625,-2.5121768,-6.4820914,-112.538536,-33.61789,0.24123457,-1.3582956,-3.1074255,-0.16402587
21.567442,-30.762014,-19.233532,1.1061755,-7.1638365,-1.5537386,-2.920085,0.57420224,0.2157122,-3.1518967,-142.20172,0.11676891,-5.259774,-5.7453446,-6.518637,-0.56591773
-79.39947,-6.9519086,-124.241066,-4.3762817,-6.071647,-1.4557595,-1.9959346,6.4236846,0.86875015,-7.39849,6.0462484,3.0769002,4.2030115,-1.4981933,-4.0207653,-2.4205358
-69.01355,-20.728025,6.4737797,-4.1521745,0.063629694,-2.343494,1.6171126,-5.0504637,-1.8834972,7.8075957,-127.679474,1.3200977,1.6298754,-4.932621,-0.8050701,-1.865691
-58.82965,1.7867991,9.417601,-0.32439962,-2.4450476,-4.867174,0.1860315,-4.8572416,-0.044744782,6.9152856,-134.55356,-24.040726,-1.0512339,-1.427814,-3.190065,-2.2310412
-59.687565,-18.081337,3.3574932,0.53847986,1.2358252,-1.3917837,-3.7755482,0.013969455,1.6443384,12.095681,20.301613,-52.33102,-0.57292235,3.9365168,-0.5540049,-1.165696
-48.481937,-13.744012,-46.09018,5.471404,-3.667645,3.9628255,-0.13875881,6.348724,-2.6837332,-7.474872,-108.684456,-0.6212285,1.591303,-2.082482,-1.8102685,-1.5219697
30.25796,2.8236372,17.754541,5.169837,0.7390863,0.93822527,1.526479,-3.0931776,4.946833,3.6461933,-97.94781,-35.336517,3.9056616,3.5643363,7.593726,1.162482
7.92395,0.75537765,-8.093727,4.6781163,2.887076,-2.2047005,-3.4650571,-0.44684064,-0.5086461,0.5900399,-134.13313,-39.29304,-1.1244534,0.01653468,-1.5440825,-0.22285944
