(NH4)2SO4,Triton X-100,Glycine,CSL-P,NaCl,K2HPO4,Tryptone,YE,Methionine,Cysteine,NH4OAc,Glycerol,Na2S2O3,ZnSO4·7H2O,MgSO4·7H2O,FAC,pred_titer_0,pred_titer_1,pred_titer_2,pred_titer_3,pred_titer_4,regressors_std,mean_vote,UCB
0.0,47.0,38.0,0.0,43.0,47.0,96.0,190.0,91.0,0.0,6.0,90.0,35.0,41.0,22.0,36.0,262.21716,263.90063,221.20773,204.02802,191.07175,33.327843,228.48506,261.8129
0.0,24.0,19.0,23.0,21.0,40.0,85.0,136.0,91.0,0.0,6.0,99.0,32.0,18.0,18.0,11.0,271.12473,254.7725,210.6121,202.9801,191.84573,34.63004,226.26704,260.8971
0.0,47.0,0.0,113.0,40.0,47.0,108.0,190.0,136.0,79.0,0.0,99.0,21.0,35.0,14.0,11.0,250.87239,259.35727,246.0586,216.56128,197.6508,25.97307,234.10007,260.07315
0.0,24.0,28.0,0.0,17.0,40.0,85.0,100.0,204.0,11.0,0.0,99.0,42.0,41.0,9.0,21.0,270.85474,250.62907,205.36914,175.6237,188.4825,40.87991,218.19185,259.07175
0.0,35.0,9.0,136.0,32.0,47.0,85.0,100.0,45.0,34.0,0.0,99.0,39.0,6.0,14.0,31.0,261.38776,253.09018,235.38333,211.48856,197.57487,27.043762,231.78491,258.82867
0.0,30.0,9.0,23.0,40.0,47.0,96.0,100.0,136.0,23.0,0.0,99.0,21.0,30.0,30.0,11.0,255.97083,254.49326,238.41455,205.87071,197.11989,27.42186,230.37386,257.79572
0.0,24.0,0.0,113.0,28.0,21.0,153.0,227.0,91.0,11.0,0.0,90.0,11.0,41.0,26.0,31.0,264.67194,253.54199,213.70158,205.38911,194.25296,30.973896,226.31152,257.28543
0.0,30.0,9.0,45.0,51.0,25.0,85.0,245.0,23.0,102.0,0.0,118.0,14.0,41.0,42.0,31.0,255.43407,243.10207,241.23141,203.10016,196.22392,26.388098,227.81833,254.20642
0.0,18.0,0.0,136.0,51.0,36.0,62.0,190.0,113.0,79.0,6.0,61.0,14.0,6.0,38.0,36.0,251.50313,252.78796,230.20901,194.78128,191.05133,29.845633,224.06656,253.91219
0.0,35.0,38.0,91.0,43.0,32.0,74.0,100.0,45.0,34.0,0.0,128.0,25.0,0.0,34.0,41.0,251.9951,252.91597,229.39279,197.39008,193.88583,28.537981,225.11594,253.65392
8.0,35.0,9.0,68.0,32.0,17.0,130.0,245.0,204.0,23.0,6.0,99.0,25.0,30.0,34.0,31.0,253.16008,253.2352,216.38393,187.57816,182.49243,34.150455,218.56995,252.7204
0.0,35.0,38.0,136.0,28.0,36.0,62.0,100.0,91.0,0.0,6.0,128.0,11.0,47.0,22.0,46.0,237.40028,264.2716,215.97183,196.24857,192.752,29.902868,221.32883,251.23169
0.0,35.0,9.0,136.0,36.0,47.0,62.0,118.0,204.0,23.0,0.0,90.0,42.0,12.0,14.0,51.0,249.05737,250.33119,229.0525,202.31421,196.49562,25.312944,225.45016,250.7631
0.0,18.0,28.0,23.0,28.0,43.0,108.0,227.0,159.0,91.0,0.0,109.0,35.0,35.0,34.0,41.0,237.98479,258.89468,220.0413,205.64618,187.57133,27.718876,222.02766,249.74654
0.0,18.0,28.0,45.0,36.0,43.0,51.0,154.0,91.0,34.0,0.0,109.0,21.0,12.0,22.0,36.0,243.22406,253.18047,217.72733,200.98106,190.23189,26.868254,221.06897,247.93723
0.0,47.0,19.0,181.0,47.0,43.0,96.0,172.0,181.0,79.0,6.0,61.0,11.0,41.0,26.0,21.0,247.4914,248.61697,215.54742,203.21733,187.32153,27.125221,220.43892,247.56415
0.0,18.0,19.0,23.0,47.0,43.0,51.0,136.0,204.0,57.0,0.0,118.0,39.0,47.0,38.0,26.0,232.27724,261.40454,212.07716,188.97221,189.16576,30.779255,216.77937,247.55862
0.0,41.0,38.0,68.0,28.0,51.0,142.0,245.0,204.0,91.0,0.0,128.0,11.0,41.0,26.0,6.0,246.27292,249.96541,214.9037,205.33142,192.9408,25.21808,221.88286,247.10094
0.0,35.0,47.0,181.0,36.0,36.0,74.0,118.0,204.0,57.0,0.0,128.0,25.0,24.0,18.0,36.0,245.39783,250.35474,217.29198,202.2734,194.28549,25.153608,221.9207,247.07431
